snapshot_date,tcg_numeric_id
2026-08-08,24451
2026-08-08,24461
2026-08-08,22872
2026-08-08,17689
2026-08-08,22880
2026-08-08,17674
2026-08-08,3172
2026-08-08,3068
2026-08-08,3020
2026-08-08,2545
2026-08-08,2555
2026-08-08,2364
2026-08-08,2148
2026-08-08,23095
2026-08-08,1861
2026-08-08,1840
2026-08-08,3087
2026-08-08,1539
2026-08-08,1694
2026-08-08,1528
2026-08-08,1692
2026-08-08,1451
2026-08-08,1465
2026-08-08,1427
2026-08-08,1401
2026-08-08,1407
2026-08-08,1453
2026-08-08,1433
2026-08-08,2155
2026-08-08,1541
2026-08-08,1421
2026-08-08,1395
2026-08-08,1428
2026-08-08,1853
2026-08-08,2214
2026-08-08,1377
2026-08-08,1376
2026-08-08,1392
2026-08-08,1393
2026-08-08,1372
2026-08-08,1455
2026-08-08,24493
2026-08-08,1418
2026-08-08,2175
2026-08-08,2289
2026-08-08,2332
2026-08-08,1538
2026-08-08,1386
2026-08-08,1729
2026-08-08,1522
2026-08-08,1533
2026-08-08,1532
2026-08-08,2594
2026-08-08,2931
2026-08-08,2781
2026-08-08,24382
2026-08-08,1540
2026-08-08,1543
2026-08-08,1542
2026-08-08,1423
