snapshot_date,reason,name,setName,price,product_id
2026-08-08,no_set_match,Crown Zenith Collection Case,Crown Zenith,359.99,490542
2026-08-08,no_set_match,Legend Maker Booster Pack,Legend Maker,464,98557
2026-08-08,no_set_match,Delta Species Booster Pack,Delta Species,999,98944
2026-08-08,no_set_match,Unseen Forces Booster Pack,Unseen Forces,999.99,98577
2026-08-08,no_set_match,Deoxys Booster Pack,Deoxys,1699.99,98562
2026-08-08,no_set_match,Hidden Legends Booster Pack,Hidden Legends,319.94,98595
2026-08-08,no_set_match,"Hidden Legends Theme Deck - ""Forest Guardian"" [Dark Celebi]",Hidden Legends,200,215765
2026-08-08,no_set_match,"Hidden Legends Theme Deck - ""Wish Maker"" [Jirachi]",Hidden Legends,189.95,215766
